,Popularity,Country/ Region,Term,Full Form | Definition | Meaning,Main Category,Subcategory
75,10,United States, AAP , Andrau Airpark ,Transport & Travel,Airport Codes
76,80,United States, AAPL , Apple Inc. ,Business,Stock Market
77,40,United States, AAPL , American Association of Professional Landmen ,Associations & Organizations,Regional Organizations
78,40,United States, AAPL , American Academy of Psychiatry and the Law ,Associations & Organizations,Professional Associations
79,20,United States, AAPL , Aero-Acoustic Propulsion Laboratory ,Academic & Science,Research & Development
80,20,Worldwide, AAPSO , The Afro-Asian Peoples’ Solidarity Organization ,Associations & Organizations,Social Welfare Organizations
81,80,Worldwide, AARA , Air-to-Air Refueling Area ,Technology,Airplanes & Aircraft
82,30,United States, AARP , American Association of Retired Persons ,Associations & Organizations,Regional Organizations
83,20,Worldwide, AARP , AppleTalk Address Resolution Protocol ,Computing,Protocols
84,30,United States, AASHTO , American Association of State Highway and Transportation Officials ,Associations & Organizations,Regional Organizations
85,90,Canada, AB , Alberta ,Regional,Postal Codes
86,70,United States, AB , Assembly Bill ,Governmental,Law & Legal
87,60,Germany, AB , Air Berlin ,Transport & Travel,Airline Codes
88,60,Sweden, AB , Aktiebolag ,Business,Business Terms
89,60,Worldwide, Ab , Antibody ,Medical,Anatomy & Physiology
90,60,Worldwide, AB , Allen-Bradley ,Business,Companies & Corporations
91,50,Worldwide, AB , Anheuser-Busch ,Business,Companies & Corporations
92,50,Worldwide, AB , Blood Type AB ,Medical,Anatomy & Physiology
93,50,United States, AB , Alter Bridge ,Arts,Musical groups
94,50,Belgium, AB , Ancienne Belgique ,Regional,Buildings & Landmarks
95,40,Worldwide, ab , ApacheBench ,Computing,Software & Applications
96,40,Worldwide, AB , At Bat ,Sports & Games,Baseball
97,40,Worldwide, Ab , Aba/Abba ,Academic & Science,Language & Linguistics
98,40,Georgia, ab , Abkhaz ,Regional,Language Codes
99,40,Lithuania, AB , Akcinė Bendrovė ,Business,Companies & Corporations
100,40,Worldwide, AB , Able Seaman ,Governmental,Military
101,40,United Kingdom, AB , Aberdeen postcode area ,Regional,Postal Codes
102,40,Germany, AB , Aschaffenburg ,Transport & Travel,License Plates
103,40,Worldwide, AB , Activision Blizzard ,Business,Companies & Corporations
104,30,United States, AB , AllianceBernstein ,Business,Companies & Corporations
105,30,Worldwide, AB , Artium Baccalaureus ,Academic & Science,Academic Degrees
106,30,South Africa, AB , Abraham Benjamin ,Society & Culture,Celebrities & Famous
107,30,Denmark, AB , Akademisk Boldklub ,Associations & Organizations,Sports & Recreation Organizations
108,30,Australia, AB , Allan Border ,Society & Culture,Celebrities & Famous
109,30,India, AB , Andhra Bank ,Business,Banking
110,30,Worldwide, AB , Able Seaman ,Business,Job Titles
111,30,United States, AB , Airman Basic ,Governmental,Military
112,20,South Africa, AB , Afrikaner Broederbond ,Associations & Organizations,Regional Organizations
113,20,United States, AB , Aryan Brotherhood ,Associations & Organizations,Regional Organizations
114,20,United States, AB , Alderson Broaddus ,Academic & Science,Universities & Institutions
115,20,India, AB , Ambur Railway Station ,Transport & Travel,IRCTC Station Codes
116,20,United States, AB , American Bandstand ,News & Entertainment,TV & Radio
117,20,Greece, AB , Άλφα-Βήτα Βασιλόπουλος ,Business,Companies & Corporations
118,10,Worldwide, AB , AnswerBag ,Computing,Websites
119,80,Worldwide, ABB , Asea Brown Boveri ,Business,Companies & Corporations
120,30,United Kingdom, ABB , Association of British Bookmakers ,Associations & Organizations,Trade Associations
121,20,Nigeria, ABB , Asaba Airport ,Transport & Travel,Airport Codes
122,20,United States, ABB , African Blood Brotherhood ,Associations & Organizations,Regional Organizations
123,20,Worldwide, ABB , Accelerated Book Build ,Business,Business Terms
124,20,United States, ABB , Akron and Barberton Belt Railroad ,Transport & Travel,Rail Transport
125,10,Malaysia, ABB , Affin Bank Berhad ,Business,Banking
126,10,Australia, ABB , Australian Barley Board ,Business,Companies & Corporations
127,70,Worldwide, Abbr , Abbreviation ,Academic & Science,Language & Linguistics
128,40,Brazil, ABBR , Associação Brasileira Beneficente de Reabilitação ,Medical,Hospitals
129,30,United States, ABBR , Annual Benefits Base Rate ,Business,Business Terms
130,80,United States, ABC , American Broadcasting Company ,Business,Companies & Corporations
131,70,Worldwide, ABC , Atanasoff–Berry Computer ,Computing,Hardware
132,60,Australia, ABC , Australian Broadcasting Corporation ,Business,Companies & Corporations
133,50,Worldwide, ABCD , American Born Confused Desi ,Miscellaneous,Chat & Messaging
134,40,India, ABCD , Any Body Can Dance ,News & Entertainment,Movies & Film
135,40,Worldwide, ABCD , Asset Based Community Development ,Regional,Community
136,20,Worldwide, ABCD ," Albinism, Black Lock, Cell Migration ",Medical,Diseases & Conditions
137,30,India, ABEC , Asian Business Exhibition & Conferences ,Business,Companies & Corporations
138,30,United States, ABEC , Arizona Business and Education Coalition ,Associations & Organizations,Non-Profit Organizations
139,20,United States, ABEC , Americans for Balanced Energy Choices ,Associations & Organizations,Trade Associations
140,20,United States, ABEC , Annular Bearing Engineers’ Committee ,Technology,Specifications & Standards
141,30,United States, ABHW , Association for Behavioral Health and Wellness ,Associations & Organizations,Regional Organizations
142,20,Worldwide, ABIT , Airborne Information Transmission ,Technology,Airplanes & Aircraft
143,100,Worldwide, ABL , Airborne Laser ,Governmental,Weapons & Forces
144,80,Worldwide, ABM , Anti-ballistic Missile ,Governmental,Weapons & Forces
145,70,United States, ABM , American Business Media ,Associations & Organizations,Trade Associations
146,60,Worldwide, ABM , Activity-based Management ,Business,Business Management
147,70,Worldwide, ABP , Arterial Blood Pressure ,Medical,Anatomy & Physiology
148,60,Worldwide, ABP , AdBlock Plus ,Computing,Internet
149,50,United Kingdom, ABP , Associated British Ports ,Business,Companies & Corporations
150,50,India, ABP , আনন্দ বাজার পত্রিকা ,Business,Companies & Corporations
151,40,Worldwide, ABP , Alternating Bit Protocol ,Computing,Protocols
152,40,Worldwide, ABP , Actin-Binding Protein ,Medical,Biochemistry
153,30,United States, ABP , American Board of Prosthodontics ,Associations & Organizations,Medical Organizations
154,20,United States, ABP , Associated Baptist Press ,News & Entertainment,News
155,20,United States, ABP , Au Bon Pain ,Business,Companies & Corporations
156,20,Worldwide, ABP , Activity-Based Pricing ,Business,Finance
157,10,Papua New Guinea, ABP , Atkamba Airport ,Transport & Travel,Airport Codes
158,80,Worldwide, ABR , Auditory Brainstem Response ,Medical,Anatomy & Physiology
159,100,Worldwide, ABS , Anti-lock Braking System ,Technology,Automotive
160,90,Australia, ABS , Australian Bureau of Statistics ,Governmental,Census & Statistics
161,80,Worldwide, Abs , Abdominals ,Medical,Anatomy & Physiology
162,80,Worldwide, ABS , Acrylonitrile-Butadiene-Styrene ,Academic & Science,Chemistry
163,60,United States, ABS , American Bureau of Shipping ,Transport & Travel,Water Transport
164,60,United States, ABS , American Board of Surgery ,Associations & Organizations,Medical Organizations
165,50,Worldwide, abs , absolute ,Computing,Programming & Development
166,30,United Kingdom, ABS , Aston Business School ,Academic & Science,Universities & Institutions
167,20,United States, ABS , American Boxwood Society ,Associations & Organizations,Regional Organizations
168,20,Worldwide, abs , Abscissa Data File ,Computing,File Extensions
169,20,Worldwide, ABS , Autonomous Biological System ,Academic & Science,Research & Development
170,10,Egypt, ABS , Abu Simbel Airport ,Transport & Travel,Airport Codes
171,10,Worldwide, ABS , Automatic Brightness Stabilization ,Technology,Tech Terms
172,60,United Kingdom, ABTA , Association of British Travel Agents ,Associations & Organizations,Regional Organizations
173,20,United States, ABTA , American Brain Tumor Association ,Associations & Organizations,Regional Organizations
174,70,India, ABVP , अखिल भारतीय विद्यार्थी परिषद ,Associations & Organizations,Regional Organizations
175,20,United States, ABVP , American Board of Veterinary Practitioners ,Academic & Science,Academic Degrees
176,100,Worldwide, AC , Alternating Current ,Academic & Science,Electronics
177,90,Worldwide, AC , All Clear ,Computing,General Computing
178,90,Worldwide, AC , Air Conditioner ,Academic & Science,Engineering
179,80,Canada, AC , Air Canada ,Transport & Travel,Airport Codes
180,50,Worldwide, ac , Ascension Island ,Computing,Domain Names (TLD)
181,50,Worldwide, Ac , Actinium ,Academic & Science,Chemistry
182,40,Brazil, AC , Acre ,Regional,States & Districts
183,30,Worldwide, Ac , Acetyl Group ,Academic & Science,Chemistry
184,70,Worldwide, AC3 , Audio Coding 3 ,Computing,File Extensions
185,60,Worldwide, AC3 , Assassin’s Creed III ,Computing,Games & Entertainment
186,40,Worldwide, AC3 , Armored Core 3 ,Computing,Games & Entertainment
187,40,Worldwide, AC3 , Ace Combat 3 ,Computing,Games & Entertainment
188,30,Australia, ac3 , Australian Centre for Advanced Computing and Communications ,Business,Companies & Corporations
189,80,Worldwide, AC97 , Audio Codec 97 ,Computing,Codec
190,90,Worldwide, ACAD , AutoCAD ,Computing,Software & Applications
191,40,Worldwide, ACB , Air Circuit Breaker ,Academic & Science,Electrical
192,20,United States, ACB , American Chartered Bank ,Business,Banking
193,20,United States, ACB , American Council of the Blind ,Associations & Organizations,Regional Organizations
194,20,Philippines, ACB , Asean Centre for Biodiversity ,Associations & Organizations,Regional Organizations
195,20,Vietnam, ACB , Asia Commercial Bank ,Business,Banking
196,20,United States, ACB , Antrim County Airport ,Transport & Travel,Airport Codes
197,20,Canada, ACB , Adjusted Cost Base ,Business,Finance
198,80,Worldwide, ACC , Association of Corporate Counsel ,Associations & Organizations,Trade Associations
199,40,United States, ACC , Atlantic Coast Conference ,Associations & Organizations,Sports & Recreation Organizations
200,40,United States, ACC , Air Combat Command ,Governmental,Security & Defence
201,30,India, ACC , Associated Cement Companies ,Business,Companies & Corporations
202,20,India, ACC , Auxiliary Cadet corps ,Governmental,Military
203,60,Worldwide, ACCA , Association of Chartered Certified Accountants ,Associations & Organizations,Professional Associations
204,40,Australia, ACCA , Australian Centre For Contemporary Art ,Regional,Buildings & Landmarks
205,40,United States, ACCA , Air Conditioning Contractors of America ,Associations & Organizations,Professional Associations
206,30,United States, ACCA , American College Counseling Association ,Associations & Organizations,Educational Organizations
207,30,United States, ACCA , Association of County Commissions of Alabama ,Associations & Organizations,Regional Organizations
208,30,United States, ACCA , Army Court of Criminal Appeals ,Governmental,Military
209,30,United States, ACCA , Armed Career Criminal Act of 1984 ,Governmental,Law & Legal
210,30,United States, ACCA , Association of Christian College Athletics ,Associations & Organizations,Sports & Recreation Organizations
211,30,United States, ACCA , American Clinical and Climatological Association ,Associations & Organizations,Professional Associations
212,30,Australia, ACCA , Anglican Catholic Church in Australia ,Society & Culture,Religion & Spirituality
213,20,United States, ACCA , American Corporate Counsel Association ,Associations & Organizations,Professional Associations
214,20,United States, ACCA , Advanced Composite Cargo Aircraft ,Transport & Travel,Air Transport
215,20,United States, ACCA , Annandale Christian Community for Action ,Associations & Organizations,Social Welfare Organizations
216,20,Australia, ACCA , Australasian Cemeteries & Crematoria Association ,Associations & Organizations,Regional Organizations
217,20,United States, ACCA , Antiochian Catholic Church in America ,Society & Culture,Religion & Spirituality
218,60,Worldwide, Accenture , derived from “Accent on the future” ,Business,Companies & Corporations
219,50,Worldwide, ACD , Automatic Call Distributor ,Technology,Instruments & Devices
220,30,Worldwide, ACD , Anemia of Chronic Disease ,Medical,Diseases & Conditions
221,20,Colombia, ACD , Alcides Fernández Airport ,Transport & Travel,Airport Codes
222,20,Worldwide, ACD , Australian Cattle Dog ,Animal Kingdom,Pets & Domesticated
223,10,India, ACD , Additional Cash Deposit ,Governmental,Departments & Agencies
224,60,United States, ACDA , American Choral Directors Association ,Associations & Organizations,Arts Associations 
225,30,United States, ACDA , Arms Control and Disarmament Agency ,Governmental,Departments & Agencies
226,30,Australia, ACDA , Air Conditioning Dealer Association ,Associations & Organizations,Regional Organizations
227,30,Worldwide, ACDA , Assured Clear Distance Ahead ,Governmental,Law & Legal
228,30,Netherlands, Acda , Thomas Acda ,Society & Culture,Celebrities & Famous
229,20,Uganda, ACDA , Agoro Community Development Association ,Associations & Organizations,Regional Organizations
230,20,United States, ACDA , American Celiac Disease Alliance ,Associations & Organizations,Regional Organizations
231,10,United States, ACDA , American Country Dance Association ,Associations & Organizations,Regional Organizations
232,10,United Kingdom, ACDA , African and Caribbean Disablement Association ,Associations & Organizations,Regional Organizations
233,20,Australia, ACDT , Australian Central Daylight Time ,Regional,Time Zones 
234,10,Worldwide, ACDT , Apple Certified Desktop Technician ,Business,Job Titles
235,60,Worldwide, ACE2 , Angiotensin-Converting Enzyme 2 ,Medical,Anatomy & Physiology
236,60,Worldwide, ACEA , Association des Constructeurs Européens d'Automobiles ,Associations & Organizations,Trade Associations
237,40,Australia, ACEA , Association of Consulting Engineers Australia ,Associations & Organizations,Regional Organizations
238,10,Italy, Acea , Azienda Comunale Elettricità e Acque ,Business,Companies & Corporations
239,10,Canada, ACEA , Association Canadienne des Etudes Africaines ,Associations & Organizations,Regional Organizations
240,80,Worldwide, Acer ," Latin word for “sharp, acute, able and facile” ",Business,Companies & Corporations
241,60,Australia, ACER , Australian Council for Educational Research ,Associations & Organizations,Educational Organizations
242,30,Worldwide, ACER , Agency for the Cooperation of Energy Regulators ,Associations & Organizations,Regional Organizations
243,20,Worldwide, ACER , Alcoholism: Clinical & Experimental Research ,News & Entertainment,Journals & Publications
244,20,Worldwide, ACER , Armored Combat Engineer Robot ,Technology,Robotics & Automation
245,10,Canada, ACER , Acadia Centre for Estuarine Research ,Academic & Science,Research & Development
246,50,India, ACES , Automation of Central Excise and Service Tax ,Governmental,Policies & Programs
247,40,United States, ACES ," Agricultural, Consumer and Environmental Sciences ",Academic & Science,Universities & Institutions
248,40,United States, ACES , American Copy Editors Society ,Associations & Organizations,Professional Associations
249,40,Worldwide, ACES , Atomic Clock Ensemble in Space ,Academic & Science,Astronomy & Space Science
250,40,Worldwide, ACES , Asian Chemical Editorial Society ,Associations & Organizations,Professional Associations
251,40,Worldwide, ACES , Advanced Crew Escape Suit ,Academic & Science,Astronomy & Space Science
252,30,United States, ACES , Advanced Computerized Execution System ,Business,Stock Market
253,30,Indonesia, ACeS , Asia Cellular Satellite ,Business,Companies & Corporations
254,20,United States, ACES , Alabama Cooperative Extension System ,Academic & Science,Universities & Institutions
255,80,Worldwide, ACF , Action Contre La Faim ,Associations & Organizations,International Orgaizations
256,70,United States, ACF , Administration for Children and Families ,Governmental,Departments & Agencies
257,70,Worldwide, ACF , AutoCorrelation Function ,Technology,Tech Terms
258,60,Worldwide, ACF , Advanced Custom Fields ,Computing,Internet
259,50,United States, ACF , American Culinary Federation ,Associations & Organizations,Professional Associations
260,50,Worldwide, ACF , Anisotropic Conductive Film ,Academic & Science,Electronics
261,50,Worldwide, ACF , Aberrant Crypt Foci ,Medical,Anatomy & Physiology
262,50,Worldwide, ACF , AnteCubital Fossa ,Medical,Anatomy & Physiology
263,40,South Africa, ACF , Active Citizen Force ,Governmental,Military
264,40,Australia, ACF , Australian Chess Federation ,Sports & Games,Board Games
265,40,Australia, ACF , Australian Conservation Foundation ,Associations & Organizations,Environment & Nature Organizations
266,40,United Kingdom, ACF , Army Cadet Force ,Associations & Organizations,Regional Organizations
267,40,France, ACF , Automobile Club de France ,Associations & Organizations,Sports & Recreation Organizations
268,40,India, ACF , Assistant Conservator of Forests ,Governmental,Titles
269,40,United States, ACF , American Car and Foundry ,Business,Companies & Corporations
270,40,Brazil, ACF , Associação Chapecoense de Futebol ,Associations & Organizations,Sports & Recreation Organizations
271,40,Saint Lucia, acf , Saint Lucian Creole French ,Regional,Language Codes
272,30,France, ACF , Ateliers et Chantiers de France ,Regional,Buildings & Landmarks
273,30,Worldwide, ACF , African Clawed Frog ,Animal Kingdom,Aquatic Life
274,20,India, ACF , Adivasi Cobra Force ,Associations & Organizations,Extremist Groups
275,20,Worldwide, ACF , Arab Chess Federation ,Associations & Organizations,Sports & Recreation Organizations
276,20,United States, ACF , Academic Competition Federation ,Associations & Organizations,Conferences & Events
277,20,United States, ACF , American Checker Federation ,Associations & Organizations,Sports & Recreation Organizations
278,20,Worldwide, ACF , Advanced Communication Function ,Computing,Software & Applications
279,50,United States, ACH , Automated Clearing House ,Business,Finance
280,40,Worldwide, ACh , Acetylcholine ,Medical,Anatomy & Physiology
281,30,Switzerland, ACH , St. Gallen-Altenrhein Airport ,Transport & Travel,Airport Codes
282,20,United States, ACH , Arkansas Children’s Hospital ,Medical,Hospitals
283,20,New Zealand, ACH , Auckland City Hospital ,Medical,Hospitals
284,10,Worldwide, ACH , Air Changes per Hour ,Academic & Science,Units
285,40,Worldwide, ACHSI , Australian Council on Healthcare Standards International ,Medical,Healthcare
286,70,United States, ACLU , American Civil Liberties Union ,Associations & Organizations,Regional Organizations
287,40,Worldwide, ACM , Association for Computing Machinery ,Associations & Organizations,Professional Associations
288,30,Worldwide, ACM , Air Cycle Machine ,Technology,Airplanes & Aircraft
289,20,United States, ACM , Associated Colleges of the Midwest ,Associations & Organizations,Educational Organizations
290,20,United Kingdom, ACM , Academy of Contemporary Music ,News & Entertainment,Music
291,20,United States, ACM , Advanced Cruise Missile ,Governmental,Weapons & Forces
292,20,Worldwide, ACM , Air Chief Marshal ,Governmental,Titles
293,10,Singapore, ACM , Asian Civilisations Museum ,Regional,Buildings & Landmarks
294,10,United States, ACM , Afghanistan Campaign Medal ,Governmental,Military
295,10,United States, ACM , American Conservatory of Music ,News & Entertainment,Music
296,10,Worldwide, ACM , Agency Credit Memo ,Transport & Travel,Air Transport
297,40,South Africa, ACP ," African, Caribbean, and Pacific ",Associations & Organizations,International Orgaizations
298,30,Worldwide, ACP , Acyl Carrier Protein  ,Medical,Biochemistry
299,30,Worldwide, ACP , Aluminium Composite Panel ,Academic & Science,Architecture & Constructions
300,20,Iran, ACP , Sahand Airport ,Transport & Travel,Airport Codes
301,20,Australia, ACP , Australian Consolidated Press ,Business,Companies & Corporations
302,20,Worldwide, ACP , Atmospheric Chemistry and Physics ,Academic & Science,Atmospheric Sciences
303,20,India, ACP , Assistant Commissioner of Police  ,Governmental,Police
304,50,Worldwide, ACPI , Advanced Configuration and Power Interface ,Computing,General Computing
305,20,Worldwide, ACPI , Association of Career Professionals International ,Associations & Organizations,Professional Associations
306,20,United States, ACPI , Accelerated Climate Prediction Initiative ,Governmental,Policies & Programs
307,70,United States, ACS , American Chemical Society ,Associations & Organizations,Professional Associations
308,60,United States, ACS , Affiliated Computer Services ,Business,Companies & Corporations
309,40,Worldwide, ACS , Access Control System ,Technology,Instruments & Devices
310,30,Australia, ACS , Australian Computer Society ,Associations & Organizations,Technological Organizations
311,10,Russian Federation, ACS , Achinsk Airport ,Transport & Travel,Airport Codes
312,50,Worldwide, ACSR , Aluminium Conductor Steel Reinforced ,Academic & Science,Electrical
313,10,United States, ACSR , AIDS and Cancer Specimen Resource ,Associations & Organizations,Medical Organizations
314,40,United States, ACUA , Atlantic County Utilities Authority ,Governmental,Departments & Agencies
315,30,Canada, ACUA , Alberta Council for the Ukrainian Arts ,Associations & Organizations,Arts Associations 
316,20,Worldwide, ACUA , Association of College and University Auditors ,Associations & Organizations,Medical Organizations
317,20,United States, ACUA , Alabama Credit Union Administration ,Governmental,Departments & Agencies
318,20,Worldwide, ACUA , Advisory Council on Underwater Archaeology ,Associations & Organizations,Professional Associations
319,10,Worldwide, ACUA , ArchiCAD Users Association ,Associations & Organizations,Technological Organizations
320,30,United States, ACWS , American Civil War Society ,Associations & Organizations,Regional Organizations
321,20,United States, ACWS , Aircraft Control and Warning Squadron ,Governmental,Military
322,20,Australia, ACWS , Adelaide Coastal Waters Study ,Academic & Science,Ocean Science
323,0,India, ACWS , Acknowledge Website & Software ,Business,Companies & Corporations
324,0,Australia, ACWS , Australian Centre for Work Safety ,Business,Companies & Corporations
325,90,Worldwide, AD , Anno Domini ,Academic & Science,Language & Linguistics
326,80,Worldwide, Ad , Advertisement ,Business,Marketing
327,70,Worldwide, AD , Active Directory ,Computing,Programming & Development
328,70,Worldwide, AD , Art Director ,Business,Job Titles
329,60,Worldwide, AD , Assistant Director ,Business,Job Titles
330,60,Venezuela, AD , Acción Democrática ,Governmental,Politics
331,90,Worldwide, ADA , Cardano ,Computing,General Computing
332,80,United States, ADA , Americans with Disabilities Act ,Governmental,Rules & Regulations
333,80,Worldwide, ADA , Adenosine Deaminase ,Medical,Biochemistry
334,70,United States, ADA , American Diabetes Association ,Associations & Organizations,Regional Organizations
335,50,India, ADA , Aeronautical Development Agency ,Governmental,Departments & Agencies
336,40,United States, ADA , American Dental Association ,Associations & Organizations,Medical Organizations
337,40,Turkey, ADA , Adana Airport ,Transport & Travel,Airport Codes
338,30,United States, ADA , AntiDeficiency Act ,Governmental,Law & Legal
339,20,Australia, ADA , Australian Dental Association ,Associations & Organizations,Religious Organizations
340,50,United Arab Emirates, ADAC , Abu Dhabi Airports Company ,Transport & Travel,Air Transport
341,40,Germany, ADAC , Allgemeiner Deutscher Automobil-Club ,Associations & Organizations,Regional Organizations
342,40,Worldwide, ADAC , Active Directory Administrative Center ,Computing,Software & Applications
343,20,Australia, ADAC , Asset Design As Constructed ,Governmental,Policies & Programs
344,20,India, ADAK , Agency for Development of Aquaculture ,Governmental,Departments & Agencies
345,80,Worldwide, ADAS , Advanced Driver-Assistance Systems ,Technology,Automotive
346,60,Worldwide, ADB , Asian Development Bank ,Business,Banking
347,50,Worldwide, ADB , African Development Bank ,Business,Banking
348,50,Worldwide, ADB , Automatic Differential Brake ,Technology,Automotive
349,50,Worldwide, ADB , Android Debug Bridge ,Computing,Software & Applications
350,50,Turkey, ADB , İzmir Adnan Menderes International Airport ,Transport & Travel,Airport Codes
351,40,Worldwide, ADB , Advanced Digital Broadcast ,Business,Companies & Corporations
352,20,Worldwide, ADB , Apple Desktop Bus ,Computing,Hardware
353,10,Australia, ADB , Australian Dictionary of Biography ,Computing,Internet
354,80,Worldwide, ADC , Analog to Digital Converter ,Technology,Instruments & Devices
355,60,Worldwide, ADC , Art Directors Club ,Associations & Organizations,Professional Associations
356,50,Worldwide, ADC , Apple Developer Connection ,Computing,Programming & Development
357,50,Worldwide, ADC , Apple Display Connector ,Computing,Hardware
